gender,NationalITy,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,Class,subject,resp_parent,Parent_Sats,final_grade,citizenship,sex
M,Palestine,Arabic,Father,80,88,51,39,Good,H,4,2,2,3,12,2
M,Iraq,Arabic,Father,80,95,21,28,Good,H,4,2,2,3,13,2
M,Iraq,Arabic,Father,78,70,31,29,Good,H,4,2,2,3,13,2
M,Jordan,Arabic,Father,10,18,71,38,Good,M,4,2,2,2,6,2
M,Jordan,Arabic,Father,10,58,51,48,Good,M,4,2,2,2,6,2
F,Palestine,Arabic,Mum,98,88,60,31,Good,H,4,1,2,3,12,1
F,Palestine,Arabic,Mum,75,81,51,34,Good,H,4,1,2,3,12,1
M,Jordan,Arabic,Father,10,17,50,21,Bad,M,4,2,1,2,6,2
M,Jordan,Arabic,Father,35,2,29,23,Bad,M,4,2,1,2,6,2
F,Jordan,Arabic,Father,10,20,22,97,Bad,L,4,2,1,1,6,1
F,Jordan,Arabic,Father,5,9,19,98,Bad,L,4,2,1,1,6,1
M,Jordan,Arabic,Father,10,10,40,51,Bad,L,4,2,1,1,6,2
M,Jordan,Arabic,Father,35,2,29,23,Bad,L,4,2,1,1,6,2
M,Jordan,Arabic,Mum,20,90,50,61,Bad,M,4,1,1,2,6,2
M,Jordan,Arabic,Mum,32,82,59,63,Bad,M,4,1,1,2,6,2
M,Jordan,Arabic,Father,10,30,50,91,Bad,L,4,2,1,1,6,2
M,Jordan,Arabic,Father,12,22,59,83,Bad,L,4,2,1,1,6,2
F,Jordan,Arabic,Father,11,20,20,98,Bad,L,4,2,1,1,6,1
F,Jordan,Arabic,Father,10,12,29,93,Bad,L,4,2,1,1,6,1
M,Iraq,Arabic,Mum,69,82,20,28,Good,H,4,1,2,3,13,2
M,Iraq,Arabic,Mum,70,83,29,33,Good,H,4,1,2,3,13,2
F,Iraq,Arabic,Mum,89,92,40,28,Good,H,4,1,2,3,13,1
F,Iraq,Arabic,Mum,79,93,49,23,Good,H,4,1,2,3,13,1
M,Jordan,Arabic,Mum,15,90,21,97,Good,M,4,1,2,2,6,2
M,Jordan,Arabic,Mum,20,77,31,88,Good,M,4,1,2,2,6,2
M,Jordan,Arabic,Mum,4,10,11,7,Good,L,4,1,2,1,6,2
M,Jordan,Arabic,Mum,5,0,1,8,Good,L,4,1,2,1,6,2
F,Jordan,Biology,Mum,88,81,50,10,Good,M,8,1,2,2,6,1
F,Jordan,Biology,Mum,90,88,54,12,Good,M,8,1,2,2,6,1
F,Iraq,Biology,Mum,86,98,50,20,Good,H,8,1,2,3,13,1
F,Iraq,Biology,Mum,90,90,57,22,Good,H,8,1,2,3,13,1
M,Jordan,Biology,Mum,78,91,50,40,Good,H,8,1,2,3,6,2
M,Jordan,Biology,Mum,70,98,54,72,Good,H,8,1,2,3,6,2
M,Jordan,Biology,Father,80,80,46,61,Bad,M,8,2,1,2,6,2
M,Jordan,Biology,Father,85,82,59,63,Bad,M,8,2,1,2,6,2
M,Palestine,Biology,Father,88,90,86,81,Good,H,8,2,2,3,12,2
M,Palestine,Biology,Father,89,92,89,83,Good,H,8,2,2,3,12,2
M,Jordan,Biology,Father,39,71,40,26,Good,M,8,2,2,2,6,2
M,Jordan,Biology,Father,35,80,34,22,Good,M,8,2,2,2,6,2
M,Jordan,Biology,Father,76,81,80,86,Good,H,8,2,2,3,6,2
M,Jordan,Biology,Father,65,89,64,82,Good,H,8,2,2,3,6,2
F,Syria,Biology,Mum,96,95,70,70,Good,H,8,1,2,3,11,1
F,Syria,Biology,Mum,80,91,87,72,Good,H,8,1,2,3,11,1
M,Jordan,Biology,Mum,2,9,10,1,Bad,L,8,1,1,1,6,2
M,Jordan,Biology,Mum,3,8,19,3,Bad,L,8,1,1,1,6,2
M,Jordan,Biology,Father,50,79,10,31,Bad,M,8,2,1,2,6,2
M,Jordan,Biology,Father,53,88,9,33,Bad,M,8,2,1,2,6,2
F,Jordan,Biology,Mum,70,89,12,21,Good,H,8,1,2,3,6,1
F,Jordan,Biology,Mum,59,90,19,43,Good,H,8,1,2,3,6,1
M,Palestine,Biology,Father,78,80,66,51,Good,M,8,2,2,2,12,2
M,Palestine,Biology,Father,79,72,79,83,Good,M,8,2,2,2,12,2
F,Lybia,Biology,Mum,10,9,2,1,Good,L,8,1,2,1,14,1
F,Lybia,Biology,Mum,9,7,9,3,Good,L,8,1,2,1,14,1
M,Iraq,Biology,Father,98,90,86,71,Good,H,8,2,2,3,13,2
M,Iraq,Biology,Father,89,92,89,83,Good,H,8,2,2,3,13,2
M,Palestine,Biology,Father,88,90,76,81,Good,H,8,2,2,3,12,2
M,Palestine,Biology,Father,99,96,89,84,Good,H,8,2,2,3,12,2
F,Jordan,Chemistry,Mum,82,89,22,31,Good,H,7,1,2,3,6,1
F,Jordan,Chemistry,Mum,84,92,29,43,Good,H,7,1,2,3,6,1
F,Jordan,Geology,Mum,70,69,46,45,Good,M,12,1,2,2,6,1
F,Jordan,Geology,Mum,74,62,49,43,Good,M,12,1,2,2,6,1
F,Jordan,Geology,Mum,90,79,76,79,Good,H,12,1,2,3,6,1
F,Jordan,Geology,Mum,84,77,79,68,Good,H,12,1,2,3,6,1
M,Jordan,Chemistry,Mum,80,80,62,11,Good,M,7,1,2,2,6,2
M,Jordan,Chemistry,Mum,81,82,69,13,Good,M,7,1,2,2,6,2
M,Jordan,Chemistry,Father,10,0,2,41,Bad,L,7,2,1,1,6,2
M,Jordan,Chemistry,Father,11,2,9,49,Bad,L,7,2,1,1,6,2
M,Jordan,Geology,Father,85,89,22,61,Bad,H,12,2,1,3,6,2
M,Jordan,Geology,Father,80,89,23,68,Bad,H,12,2,1,3,6,2
M,Jordan,Geology,Father,95,87,62,81,Bad,M,12,2,1,2,6,2
M,Jordan,Geology,Father,87,79,73,98,Bad,M,12,2,1,2,6,2
M,Jordan,Chemistry,Mum,85,87,72,10,Good,M,7,1,2,2,6,2
M,Jordan,Chemistry,Mum,79,88,79,20,Good,M,7,1,2,2,6,2
M,Jordan,Geology,Mum,80,81,71,30,Good,M,12,1,2,2,6,2
M,Jordan,Geology,Mum,70,83,70,23,Good,M,12,1,2,2,6,2
M,Jordan,Chemistry,Mum,80,82,76,19,Good,M,7,1,2,2,6,2
M,Jordan,Chemistry,Mum,70,82,75,29,Good,M,7,1,2,2,6,2
M,Jordan,Geology,Mum,89,87,86,15,Good,M,12,1,2,2,6,2
M,Jordan,Geology,Mum,90,86,85,10,Good,M,12,1,2,2,6,2
M,Jordan,History,Mum,69,77,76,75,Good,M,10,1,2,2,6,2
M,Jordan,History,Mum,70,76,65,70,Good,M,10,1,2,2,6,2
M,Jordan,Chemistry,Mum,75,72,64,39,Good,L,7,1,2,1,6,2
M,Jordan,Chemistry,Mum,72,76,66,40,Good,L,7,1,2,1,6,2
M,Jordan,Geology,Mum,77,82,74,79,Good,M,12,1,2,2,6,2
M,Jordan,Geology,Mum,71,84,67,80,Good,M,12,1,2,2,6,2
M,Jordan,History,Mum,87,92,74,89,Good,H,10,1,2,3,6,2
M,Jordan,History,Mum,81,84,77,85,Good,H,10,1,2,3,6,2
F,Jordan,Chemistry,Father,15,97,22,10,Good,H,7,2,2,3,6,1
F,Jordan,Chemistry,Father,19,98,20,2,Good,H,7,2,2,3,6,1
F,Jordan,Geology,Father,25,82,52,20,Good,M,12,2,2,2,6,1
F,Jordan,Geology,Father,29,78,40,12,Good,M,12,2,2,2,6,1
F,Jordan,History,Father,45,87,57,80,Good,M,10,2,2,2,6,1
F,Jordan,History,Father,39,88,43,72,Good,M,10,2,2,2,6,1
F,Jordan,Chemistry,Father,85,90,52,30,Good,H,7,2,2,3,6,1
F,Jordan,Chemistry,Father,79,91,49,22,Good,H,7,2,2,3,6,1
M,Iraq,Chemistry,Father,90,91,80,81,Good,H,7,2,2,3,13,2
M,Iraq,Chemistry,Father,80,90,80,83,Good,H,7,2,2,3,13,2
M,Iraq,Geology,Father,80,83,82,71,Good,M,12,2,2,2,13,2
M,Iraq,Geology,Father,71,81,83,72,Good,M,12,2,2,2,13,2
M,Iraq,History,Father,72,87,72,89,Good,M,10,2,2,2,13,2
M,Iraq,History,Father,69,77,83,92,Good,M,10,2,2,2,13,2
F,Jordan,Chemistry,Mum,85,99,42,90,Good,H,7,1,2,3,6,1
F,Jordan,Chemistry,Mum,89,96,45,92,Good,H,7,1,2,3,6,1
F,Jordan,Geology,Mum,80,82,64,58,Good,H,12,1,2,3,6,1
F,Jordan,Geology,Mum,87,93,63,60,Good,H,12,1,2,3,6,1
F,Jordan,Chemistry,Father,15,9,14,80,Bad,L,7,2,1,1,6,1
F,Jordan,Chemistry,Father,9,6,15,85,Bad,L,7,2,1,1,6,1
M,Palestine,History,Father,81,86,86,41,Good,M,10,2,2,2,12,2
M,Palestine,History,Father,78,82,78,53,Good,M,10,2,2,2,12,2
M,Palestine,Geology,Father,80,87,74,68,Good,M,12,2,2,2,12,2
M,Palestine,Geology,Father,85,88,79,70,Good,M,12,2,2,2,12,2
F,Jordan,Chemistry,Father,2,7,4,8,Bad,L,7,2,1,1,6,1
F,Jordan,Chemistry,Father,5,4,5,8,Bad,L,7,2,1,1,6,1
F,Jordan,Geology,Father,50,77,14,28,Bad,M,12,2,1,2,6,1
F,Jordan,Geology,Father,55,74,25,29,Bad,M,12,2,1,2,6,1
F,Jordan,History,Father,30,17,14,57,Bad,L,10,2,1,1,6,1
F,Jordan,History,Father,35,14,23,62,Bad,L,10,2,1,1,6,1
